id;start_date;end_date;language
1;2023-09-20T09:54:51;2023-09-20T07:45:06;ENGLISH
2;2023-09-19T19:22:26;2023-09-20T04:47:55;FRENCH
3;2023-09-20T05:18:38;2023-09-19T17:23:46;SPANISH
4;2023-09-20T09:49:27;2023-09-19T15:15:46;FRENCH
5;2023-09-20T12:05:50;2023-09-19T20:24:48;ENGLISH
6;2023-09-19T21:36:33;2023-09-20T11:36:53;SPANISH
7;2023-09-20T05:40:21;2023-09-19T16:14:30;FRENCH
8;2023-09-19T20:06:14;2023-09-19T16:42:03;FRENCH
9;2023-09-19T20:57:52;2023-09-20T08:29:18;FRENCH
10;2023-09-19T16:54:50;2023-09-20T09:52:19;FRENCH
